xcoord,ycoord,B03_Green_,B02_Blue_4,B12_SWIR_2,B11_SWIR_1,B8A_VRE_86,B07_VRE_78,B06_VRE_74,B05_VRE_75,B04_Red_66
368392.288,4107111.4343,3347.00000,2870.00000,5451.00000,6091.00000,4945.00000,4784.00000,4556.00000,4258.00000,3807.00000
368412.288,4107111.4343,3349.00000,2889.00000,5550.00000,6164.00000,4983.00000,4817.00000,4580.00000,4281.00000,3838.00000
368432.288,4107111.4343,3362.00000,2901.00000,5523.00000,6192.00000,4961.00000,4802.00000,4567.00000,4278.00000,3851.00000
368452.288,4107111.4343,3391.00000,2877.00000,5529.00000,6233.00000,5021.00000,4853.00000,4601.00000,4322.00000,3848.00000
365512.288,4113091.4343,2576.00000,2266.00000,4759.00000,5309.00000,3849.00000,3724.00000,3475.00000,3161.00000,2913.00000
368472.288,4107111.4343,3442.00000,2944.00000,5576.00000,6272.00000,5060.00000,4910.00000,4631.00000,4343.00000,3891.00000
365532.288,4113091.4343,2547.00000,2276.00000,4729.00000,5292.00000,3823.00000,3695.00000,3464.00000,3155.00000,2879.00000
368492.288,4107111.4343,3476.00000,2978.00000,5576.00000,6280.00000,5071.00000,4925.00000,4677.00000,4372.00000,3930.00000
365552.288,4113091.4343,2510.00000,2247.00000,4741.00000,5287.00000,3840.00000,3670.00000,3434.00000,3149.00000,2860.00000
368512.288,4107111.4343,3478.00000,2970.00000,5580.00000,6269.00000,5056.00000,4951.00000,4700.00000,4389.00000,3995.00000
365572.288,4113091.4343,2514.00000,2242.00000,4792.00000,5287.00000,3798.00000,3642.00000,3409.00000,3179.00000,2848.00000
368532.288,4107111.4343,3406.00000,2920.00000,5406.00000,6039.00000,4831.00000,4693.00000,4513.00000,4216.00000,3889.00000
365592.288,4113091.4343,2491.00000,2201.00000,4710.00000,5248.00000,3780.00000,3629.00000,3369.00000,3079.00000,2832.00000
368552.288,4107111.4343,3062.00000,2701.00000,5043.00000,5786.00000,4608.00000,4436.00000,4101.00000,3972.00000,3396.00000
365612.288,4113091.4343,2554.00000,2255.00000,4807.00000,5305.00000,3732.00000,3663.00000,3438.00000,3171.00000,2904.00000
368572.288,4107111.4343,3474.00000,2950.00000,5319.00000,5989.00000,4902.00000,4757.00000,4565.00000,4249.00000,3961.00000
368592.288,4107111.4343,3531.00000,2994.00000,5528.00000,6191.00000,5166.00000,5049.00000,4726.00000,4473.00000,4014.00000
368612.288,4107111.4343,3474.00000,2967.00000,5468.00000,6124.00000,5103.00000,4956.00000,4626.00000,4354.00000,3904.00000
367172.288,4112651.4343,2966.00000,2535.00000,4416.00000,5328.00000,5278.00000,5060.00000,4707.00000,3901.00000,3379.00000
367192.288,4112651.4343,3078.00000,2644.00000,4592.00000,5483.00000,5180.00000,5084.00000,4702.00000,3976.00000,3480.00000
367212.288,4112651.4343,3023.00000,2608.00000,4542.00000,5427.00000,4945.00000,4865.00000,4504.00000,3878.00000,3458.00000
367232.288,4112651.4343,2903.00000,2520.00000,4410.00000,5328.00000,4900.00000,4684.00000,4482.00000,3922.00000,3371.00000
365292.288,4112951.4343,3005.00000,2595.00000,5278.00000,5854.00000,4454.00000,4370.00000,4067.00000,3805.00000,3456.00000
364772.288,4113091.4343,2694.00000,2291.00000,4446.00000,5446.00000,4696.00000,4605.00000,4234.00000,3567.00000,3205.00000
365312.288,4112951.4343,2906.00000,2523.00000,5142.00000,5944.00000,4475.00000,4269.00000,4056.00000,3761.00000,3405.00000
364792.288,4113091.4343,2688.00000,2266.00000,4300.00000,5331.00000,4637.00000,4569.00000,4178.00000,3615.00000,3194.00000
367592.288,4111551.4343,2987.00000,2580.00000,4436.00000,5333.00000,4805.00000,4666.00000,4351.00000,3813.00000,3412.00000
365332.288,4112951.4343,2917.00000,2488.00000,5144.00000,6064.00000,4567.00000,4410.00000,4128.00000,3810.00000,3429.00000
365852.288,4111431.4343,3144.00000,2650.00000,5140.00000,6244.00000,5188.00000,5021.00000,4704.00000,4239.00000,3562.00000
367612.288,4111551.4343,3013.00000,2590.00000,4447.00000,5397.00000,4949.00000,4826.00000,4473.00000,3839.00000,3451.00000
365872.288,4111431.4343,2809.00000,2436.00000,4201.00000,5361.00000,4653.00000,4553.00000,4202.00000,3509.00000,3106.00000
367632.288,4111551.4343,3144.00000,2714.00000,4322.00000,5292.00000,5042.00000,4974.00000,4643.00000,4019.00000,3576.00000
367212.288,4112631.4343,3141.00000,2680.00000,4608.00000,5434.00000,5082.00000,4913.00000,4549.00000,4057.00000,3602.00000
364432.288,4115251.4343,3254.00000,2772.00000,5109.00000,6405.00000,5042.00000,4938.00000,4638.00000,4259.00000,3867.00000
364792.288,4113191.4343,2875.00000,2413.00000,4400.00000,5435.00000,4934.00000,4844.00000,4462.00000,3757.00000,3312.00000
364452.288,4115251.4343,3451.00000,2906.00000,5259.00000,6563.00000,5211.00000,5156.00000,4822.00000,4517.00000,4091.00000
364472.288,4115251.4343,3399.00000,2851.00000,5198.00000,6575.00000,5163.00000,5117.00000,4809.00000,4482.00000,4055.00000
364492.288,4115251.4343,3275.00000,2721.00000,4798.00000,5995.00000,5194.00000,5021.00000,4735.00000,4319.00000,3881.00000
364752.288,4113091.4343,2651.00000,2265.00000,4491.00000,5369.00000,4573.00000,4512.00000,4078.00000,3517.00000,3116.00000
368432.288,4107071.4343,3393.00000,2885.00000,5520.00000,6169.00000,5006.00000,4900.00000,4583.00000,4290.00000,3871.00000
368452.288,4107071.4343,3407.00000,2900.00000,5484.00000,6133.00000,5048.00000,4909.00000,4602.00000,4334.00000,3901.00000
368472.288,4107071.4343,3467.00000,2915.00000,5555.00000,6256.00000,5083.00000,4982.00000,4693.00000,4426.00000,3965.00000
368492.288,4107071.4343,3462.00000,2924.00000,5595.00000,6270.00000,5087.00000,5015.00000,4747.00000,4405.00000,3970.00000
368512.288,4107071.4343,3474.00000,2946.00000,5574.00000,6268.00000,5107.00000,5000.00000,4729.00000,4432.00000,3977.00000
368532.288,4107071.4343,3469.00000,2946.00000,5567.00000,6252.00000,5180.00000,4986.00000,4713.00000,4437.00000,3982.00000
368552.288,4107071.4343,3450.00000,2927.00000,5486.00000,6179.00000,5118.00000,4973.00000,4709.00000,4405.00000,3966.00000
364752.288,4113191.4343,2814.00000,2382.00000,4670.00000,5560.00000,4857.00000,4653.00000,4330.00000,3772.00000,3277.00000
364772.288,4113191.4343,2974.00000,2524.00000,4609.00000,5610.00000,4964.00000,4823.00000,4400.00000,3771.00000,3371.00000
365592.288,4113151.4343,2540.00000,2234.00000,4785.00000,5319.00000,3897.00000,3758.00000,3487.00000,3192.00000,2909.00000
365612.288,4113151.4343,2794.00000,2476.00000,5090.00000,5709.00000,4211.00000,4055.00000,3796.00000,3509.00000,3202.00000
365632.288,4113151.4343,2905.00000,2493.00000,5128.00000,5727.00000,4382.00000,4262.00000,3955.00000,3603.00000,3319.00000
365652.288,4113151.4343,2531.00000,2234.00000,4781.00000,5316.00000,4040.00000,3833.00000,3581.00000,3199.00000,2896.00000
365672.288,4113151.4343,2451.00000,2201.00000,4617.00000,5095.00000,3823.00000,3681.00000,3429.00000,3060.00000,2785.00000
368412.288,4107071.4343,3363.00000,2882.00000,5459.00000,6054.00000,4965.00000,4850.00000,4576.00000,4320.00000,3848.00000
365192.288,4113471.4343,2496.00000,2213.00000,4438.00000,5032.00000,4209.00000,4330.00000,3957.00000,3346.00000,2851.00000
365692.288,4113151.4343,2585.00000,2315.00000,4770.00000,5144.00000,3889.00000,3738.00000,3513.00000,3221.00000,2913.00000
365212.288,4113471.4343,3173.00000,2653.00000,4916.00000,5688.00000,5054.00000,4901.00000,4640.00000,3988.00000,3694.00000
364752.288,4113071.4343,2695.00000,2289.00000,4471.00000,5510.00000,4770.00000,4726.00000,4261.00000,3732.00000,3138.00000
364772.288,4113071.4343,2690.00000,2294.00000,4368.00000,5434.00000,4708.00000,4553.00000,4147.00000,3539.00000,3118.00000
364792.288,4113071.4343,2660.00000,2254.00000,4205.00000,5231.00000,4629.00000,4516.00000,4124.00000,3550.00000,3151.00000
364852.288,4113291.4343,2669.00000,2266.00000,4228.00000,5167.00000,4611.00000,4429.00000,4069.00000,3484.00000,3088.00000
364872.288,4113291.4343,2825.00000,2415.00000,4648.00000,5699.00000,4512.00000,4424.00000,4075.00000,3745.00000,3345.00000
364892.288,4113291.4343,2837.00000,2385.00000,4507.00000,5613.00000,4504.00000,4414.00000,4168.00000,3735.00000,3380.00000
364492.288,4115211.4343,3373.00000,2823.00000,4889.00000,6143.00000,5131.00000,5013.00000,4703.00000,4303.00000,3964.00000
368452.288,4107011.4343,3342.00000,2865.00000,5462.00000,6100.00000,4965.00000,4848.00000,4599.00000,4238.00000,3774.00000
368472.288,4107011.4343,3370.00000,2904.00000,5491.00000,6209.00000,5010.00000,4901.00000,4603.00000,4235.00000,3812.00000
368492.288,4107011.4343,3378.00000,2861.00000,5508.00000,6207.00000,5032.00000,4889.00000,4652.00000,4269.00000,3826.00000
368512.288,4107011.4343,3373.00000,2888.00000,5517.00000,6240.00000,5064.00000,4959.00000,4674.00000,4311.00000,3856.00000
368532.288,4107011.4343,3368.00000,2860.00000,5478.00000,6151.00000,5075.00000,4957.00000,4652.00000,4278.00000,3867.00000
367652.288,4111491.4343,3046.00000,2624.00000,4488.00000,5487.00000,5192.00000,5076.00000,4693.00000,3972.00000,3427.00000
367672.288,4111491.4343,3044.00000,2645.00000,4405.00000,5409.00000,5190.00000,5074.00000,4717.00000,3938.00000,3423.00000
367772.288,4111451.4343,3315.00000,2860.00000,4597.00000,5616.00000,5292.00000,5143.00000,4836.00000,4128.00000,3757.00000
367112.288,4112151.4343,2938.00000,2440.00000,4442.00000,5449.00000,4943.00000,4844.00000,4529.00000,3955.00000,3471.00000
367692.288,4111491.4343,3118.00000,2676.00000,4389.00000,5454.00000,5311.00000,5221.00000,4772.00000,3975.00000,3533.00000
