id,xcoord(long),ycoord(lat),sampling date,sensing date,B2,B3,B4,B5,B6,B7,B8A,B11,B12,NDVI,BSI,C,S,SWHC,Sand (%),Silt (%),Clay (%),SOC,DSM
1,127.4844862,37.1540762,2022-7-26,2022-9-24,2020,2555,3095,3264,3774,4137,4234,5107,4041,0.155410015,0.134753735,,,0.7,68,30.5,1.6,0.71 ,-0.035867542
2,127.4852446,37.1545173,2022-7-26,2022-9-24,2019,2598,3245,3743,3882,3961,4130,5577,4254,0.12,0.178545187,,,0.75,75.2,23.6,1.2,0.86 ,-0.061689919
3,127.4861837,37.1552674,2022-7-26,2022-9-24,2613,3380,4201,4668,4797,4986,5049,6451,5001,0.091675676,0.163263077,,,0.8,63.8,33.5,2.7,0.87 ,-0.081699146
4,127.4828685,37.1539711,2022-7-26,2022-9-24,2226,2842,3530,3903,4018,4186,4289,5753,4479,0.097071237,0.175212052,,,1,77.8,17.6,4.7,1.00 ,-0.239936236
5,127.4812562,37.1576694,2022-7-26,2022-9-24,1394,1768,1552,2474,4592,5099,5432,3179,2254,0.555555556,-0.181275417,,,0.7,81.1,16,2.9,0.84 ,0.292052481
6,127.489336,37.1402543,2022-7-26,2022-9-24,2619,3291,3892,4050,4372,4792,4939,5744,4258,0.11855962,0.120856113,,,0.7,68,30.3,1.7,1.07 ,-0.062182527
7,127.5011897,37.1504977,2022-7-26,2022-9-24,1711,1825,1900,2187,2123,2180,2328,2770,2607,0.101229896,0.072453783,,,0.65,66.2,32.5,1.4,0.47 ,0.193729696
8,127.5006666,37.1508839,2022-7-26,2022-9-24,1690,1758,1843,1995,2207,2174,2155,2619,2538,0.07803902,0.074274708,,,0.6,67.4,32.6,0,0.52 ,-0.087322189
10,127.5143499,37.14533637,2022-8-27,2022-9-24,1793,2328,2963,3215,3429,3515,3540,4190,3238,0.088728279,0.145763255,23,37,0.621621622,29.1,70.9,0.0,0.30,0.213234127
11,127.5096228,37.14043306,2022-8-27,2022-9-24,2400,3030,3778,4244,4482,4632,4774,6116,4751,0.116463985,0.15936255,22,42,0.523809524,65.4,34.6,0.0,1.00,0.023430174
12,127.5100907,37.14023002,2022-8-27,2022-9-24,2434,3086,3820,4194,4611,4735,4874,5925,4609,0.121233034,0.142907406,38,46,0.826086957,54.3,45.7,0.0,1.54,-0.046699654
13,127.5115348,37.13953628,2022-8-27,2022-9-24,2666,3373,4128,4477,4617,4777,4852,5969,4535,0.080623608,0.14640931,16,37,0.432432432,37.3,62.7,0.0,0.90,-0.150485907
14,127.5135122,37.13302932,2022-8-27,2022-9-24,2994,3855,4680,5113,5273,5380,5386,6996,4873,0.070137095,0.164339848,16,40,0.4,36.0,57.6,6.4,1.46,0.059796027
15,127.5370585,37.11810618,2022-8-27,2022-9-24,2000,2645,2513,3590,5747,6095,6201,4315,2971,0.423226991,-0.09135671,22,44,0.5,17.1,82.9,0.0,0.81,-0.410279265
16,127.5376574,37.11763538,2022-8-27,2022-9-24,2363,3109,3166,4191,5929,6252,6260,5071,3649,0.328241035,-0.022894425,20,42,0.476190476,52.4,23.5,24.1,0.48,-0.219577538
17,127.5366973,37.11976759,2022-8-27,2022-9-24,4326,4730,5144,5574,5695,5585,5628,7213,6117,0.044931303,0.10770472,12,36,0.333333333,42.6,45.5,11.9,1.01,0.097270915
18,127.5361816,37.12031974,2022-8-27,2022-9-24,2777,3442,4121,4477,4628,4790,4905,6638,4887,0.086860182,0.166856461,20,25,0.8,37.8,53.5,8.7,1.28,0.107423312
19,127.5360454,37.1194835,2022-8-27,2022-9-24,2697,3343,3987,4322,4517,4640,4830,6400,4723,0.095610752,0.159651669,12,39,0.307692308,43.3,56.7,0.0,1.08,0.191770559
