id,xcoord(long),ycoord(lat),sampling date,sensing date,B2,B3,B4,B5,B6,B7,B8A,B11,B12,NDVI,BSI,EVI,AVI,SAVI,NDMI,C,S,SWHC,Sand (%),Silt (%),Clay (%),SOC
2,127.4852446,37.1545173,2022-7-26,2022-6-1,3075,3914,4958,5340,5515,5755,5967,6441,4969,0.092356979,0.11530747,0.199351958,-3101.858919,0.1318806,-0.038201161,,,0.75,75.2,23.6,1.2,0.86 
3,127.4861837,37.1552674,2022-7-26,2022-6-1,2955,3741,4904,5519,5619,5813,5986,6298,4692,0.099357208,0.112247431,0.204174057,-3166.712397,0.141876518,-0.025398893,,,0.8,63.8,33.5,2.7,0.87 
4,127.4828685,37.1539711,2022-7-26,2022-6-1,2907,3692,4737,5347,5423,5666,5909,6465,4969,0.110088296,0.119192727,0.233848118,-3200.990843,0.157199767,-0.044932924,,,1,77.8,17.6,4.7,1.00 
5,127.4812562,37.1576694,2022-7-26,2022-6-1,2753,3298,3778,3928,4175,4433,4638,5442,4830,0.102186312,0.11010776,0.322847061,-2469.782601,0.145914633,-0.079761905,,,0.7,81.1,16,2.9,0.84 
6,127.489336,37.1402543,2022-7-26,2022-6-1,3080,3774,4587,4769,5372,5739,5826,6558,5134,0.118985883,0.111665254,0.302224607,-3210.888902,0.169904857,-0.059108527,,,0.7,68,30.3,1.7,1.07 
10,127.5143499,37.14533637,2022-8-27,2022-6-1,2360,3076,4017,4191,4523,4758,4662,5297,4314,0.074317318,0.140303624,0.145729779,-2294.256105,0.106119896,-0.063761422,23,37,0.621621622,,,,0.30
11,127.5096228,37.14043306,2022-8-27,2022-6-1,2634,3336,4182,4643,4939,5175,5240,6247,5120,0.112290384,0.139594602,0.250047268,-2851.230802,0.160343385,-0.087664316,22,42,0.523809524,,,,1.00
12,127.5100907,37.14023002,2022-8-27,2022-6-1,2730,3392,4198,4571,4961,5140,5283,6174,4989,0.114439405,0.128311123,0.271331399,-2886.79829,0.163412094,-0.077769049,38,46,0.826086957,,,,1.54
13,127.5115348,37.13953628,2022-8-27,2022-6-1,3003,3748,4562,4921,5308,5437,5578,6408,5228,0.100197239,0.122193238,0.243563312,-2956.723842,0.143075618,-0.069247455,16,37,0.432432432,,,,0.90
14,127.5135122,37.13302932,2022-8-27,2022-6-1,3091,3912,4900,5331,5557,5744,5903,6858,5025,0.09284458,0.133191981,0.206863837,-3072.512926,0.132576808,-0.074837395,16,40,0.4,,,,1.46
15,127.5370585,37.11810618,2022-8-27,2022-6-1,2502,2993,3540,3895,4206,4352,4397,4942,3871,0.107975306,0.102919186,0.311727048,-2371.406195,0.154180422,-0.058357426,22,44,0.5,,,,0.81
17,127.5366973,37.11976759,2022-8-27,2022-6-1,4953,5427,5950,6381,6370,6356,6447,7988,7006,0.040090344,0.100165759,0.248475152,-2671.27957,0.057247035,-0.106754416,12,36,0.333333333,,,,1.01
18,127.5361816,37.12031974,2022-8-27,2022-6-1,3697,4492,5349,5670,5822,6045,6153,7851,6262,0.069900887,0.145336226,0.191055558,-2979.738284,0.099814752,-0.121251071,20,25,0.8,,,,1.28
19,127.5360454,37.1194835,2022-8-27,2022-6-1,3646,4428,5303,5656,5849,6050,6151,7895,6339,0.074035272,0.147901718,0.199529412,-3024.083423,0.105718417,-0.124163463,12,39,0.307692308,,,,1.08
24,127.5249595,37.12756278,2022-8-27,2022-6-1,2914,3671,4644,5049,5236,5512,5569,6681,5453,0.090570841,0.143477383,0.199715001,-2881.194286,0.129329741,-0.09077551,25,35,0.714285714,,,,1.51
25,127.5239128,37.12716028,2022-8-27,2022-6-1,2920,3651,4378,4967,5174,5305,5454,6348,4963,0.109438568,0.123141361,0.273847094,-2950.538713,0.156271472,-0.075749873,18,28,0.642857143,,,,1.26
26,127.524152,37.12687745,2022-8-27,2022-6-1,3277,4081,4985,5096,5420,5929,5809,6733,5398,0.076338707,0.126514132,0.18487772,-2878.738442,0.109007351,-0.073672461,20,30,0.666666667,,,,1.61
27,127.5243353,37.12714944,2022-8-27,2022-6-1,3001,3740,4703,5086,5182,5407,5439,6623,5336,0.072569513,0.146008297,0.165015022,-2660.070617,0.103624891,-0.098159509,15,30,0.5,,,,1.39
65,127.4969555,37.20814686,2022/10/15,2022-6-1,3371,4238,5243,5743,5825,5981,6113,7384,5442,0.076611483,0.142146443,0.176980349,-3032.193332,0.109397075,-0.094169075,,,,,,,0.47 
66,127.497328,37.20793023,2022/10/15,2022-6-1,3164,4006,5006,5500,5619,5845,5988,7115,5247,0.089321448,0.139566587,0.199674664,-3087.444223,0.127546062,-0.086010837,,,,,,,0.45 
67,127.4978908,37.20771431,2022/10/15,2022-6-1,3360,4175,5160,5595,5772,5911,5968,7213,5416,0.072609633,0.140316114,0.172222696,-2919.231709,0.103682569,-0.094454139,,,,,,,0.37 
1,127.4844862,37.1540762,2022-7-26,2022-9-24,2020,2555,3095,3264,3774,4137,4234,5107,4041,0.155410015,0.134753735,0.371979099,-2461.869129,0.221912542,-0.093458944,,,0.7,68,30.5,1.6,0.71 
2,127.4852446,37.1545173,2022-7-26,2022-9-24,2019,2598,3245,3743,3882,3961,4130,5577,4254,0.12,0.178545187,0.261571201,-2280.29686,0.171350056,-0.149067683,,,0.75,75.2,23.6,1.2,0.86 
3,127.4861837,37.1552674,2022-7-26,2022-9-24,2613,3380,4201,4668,4797,4986,5049,6451,5001,0.091675676,0.163263077,0.198902285,-2619.892698,0.130906808,-0.121913043,,,0.8,63.8,33.5,2.7,0.87 
4,127.4828685,37.1539711,2022-7-26,2022-9-24,2226,2842,3530,3903,4018,4186,4289,5753,4479,0.097071237,0.175212052,0.216239316,-2256.402091,0.138610139,-0.145787692,,,1,77.8,17.6,4.7,1.00 
6,127.489336,37.1402543,2022-7-26,2022-9-24,2619,3291,3892,4050,4372,4792,4939,5744,4258,0.11855962,0.120856113,0.302618648,-2719.875215,0.169294932,-0.075353365,,,0.7,68,30.3,1.7,1.07 
10,127.5143499,37.14533637,2022-8-27,2022-9-24,1793,2328,2963,3215,3429,3515,3540,4190,3238,0.088728279,0.145763255,0.18325605,-1822.166438,0.126695644,-0.084087969,23,37,0.621621622,,,,0.30
11,127.5096228,37.14043306,2022-8-27,2022-9-24,2400,3030,3778,4244,4482,4632,4774,6116,4751,0.116463985,0.15936255,0.263687387,-2618.7633,0.166302248,-0.123232323,22,42,0.523809524,,,,1.00
12,127.5100907,37.14023002,2022-8-27,2022-9-24,2434,3086,3820,4194,4611,4735,4874,5925,4609,0.121233034,0.142907406,0.276205451,-2697.068218,0.173112251,-0.097323826,38,46,0.826086957,,,,1.54
13,127.5115348,37.13953628,2022-8-27,2022-9-24,2666,3373,4128,4477,4617,4777,4852,5969,4535,0.080623608,0.14640931,0.188032412,-2438.360657,0.115125025,-0.10322521,16,37,0.432432432,,,,0.90
14,127.5135122,37.13302932,2022-8-27,2022-9-24,2994,3855,4680,5113,5273,5380,5386,6996,4873,0.070137095,0.164339848,0.160279695,-2610.6062,0.100151514,-0.130027459,16,40,0.4,,,,1.46
17,127.5366973,37.11976759,2022-8-27,2022-9-24,4326,4730,5144,5574,5695,5585,5628,7213,6117,0.044931303,0.10770472,0.298913043,-2410.674968,0.064159352,-0.123432754,12,36,0.333333333,,,,1.01
18,127.5361816,37.12031974,2022-8-27,2022-9-24,2777,3442,4121,4477,4628,4790,4905,6638,4887,0.086860182,0.166856461,0.222613436,-2511.601672,0.124030458,-0.150134281,20,25,0.8,,,,1.28
19,127.5360454,37.1194835,2022-8-27,2022-9-24,2697,3343,3987,4322,4517,4640,4830,6400,4723,0.095610752,0.159651669,0.247199578,-2531.846275,0.136525526,-0.139804096,12,39,0.307692308,,,,1.08
24,127.5249595,37.12756278,2022-8-27,2022-9-24,2138,2720,3468,3915,4054,4251,4343,5779,4309,0.112021508,0.1758647,0.239936383,-2361.84055,0.159957949,-0.141869196,25,35,0.714285714,,,,1.51
26,127.524152,37.12687745,2022-8-27,2022-9-24,2310,3018,3767,4105,4111,4354,4550,5223,3805,0.094144523,0.134384858,0.199175824,-2376.208207,0.134431461,-0.068863195,20,30,0.666666667,,,,1.61
27,127.5243353,37.12714944,2022-8-27,2022-9-24,2109,2661,3318,3597,3910,4024,4191,5294,3930,0.116260487,0.155042918,0.263507395,-2298.048157,0.166010514,-0.116288877,15,30,0.5,,,,1.39
35,127.5239773,37.27107962,2022/10/15,2022-9-24,1800,2366,3271,3612,3875,4020,4019,4956,3791,0.10260631,0.171436708,0.184309087,-2142.179138,0.146513209,-0.104401114,,,,,,,1.00 
36,127.5231857,37.27036738,2022/10/15,2022-9-24,2198,2880,3686,4071,4291,4384,4502,5477,4072,0.099658036,0.155266973,0.201302546,-2383.294517,0.142304237,-0.097705181,,,,,,,0.86 
37,127.5211756,37.26915175,2022/10/15,2022-9-24,2564,3347,4222,4645,4784,4945,4911,6236,4457,0.07544071,0.166341382,0.156391865,-2426.24602,0.107724285,-0.118866063,,,,,,,0.85 
38,127.5203222,37.26949045,2022/10/15,2022-9-24,1955,2645,3688,4126,4233,4371,4417,5532,4065,0.089944479,0.182657773,0.153363908,-2281.266493,0.128433933,-0.112071565,,,,,,,1.08 
39,127.5194183,37.27284545,2022/10/15,2022-9-24,2286,2980,3665,4194,4672,4897,4922,5611,4216,0.146384069,0.125454987,0.321713759,-2830.158667,0.209026032,-0.065413462,,,,,,,0.88 
40,127.5188569,37.27338611,2022/10/15,2022-9-24,2848,3645,4430,4922,5066,5192,5266,6532,4584,0.086221122,0.149297547,0.199294364,-2691.519956,0.123118328,-0.107306323,,,,,,,0.69 
41,127.5184789,37.27395303,2022/10/15,2022-9-24,2298,2987,3815,4252,4447,4627,4588,5702,4152,0.091990956,0.160397488,0.188647013,-2382.65519,0.131356394,-0.108260447,,,,,,,0.61 
42,127.5220381,37.26977395,2022/10/15,2022-9-24,2039,2760,3795,4265,4406,4561,4592,5783,4300,0.09502802,0.181812573,0.165071869,-2403.546392,0.135693087,-0.114795181,,,,,,,1.04 
43,127.5227096,37.26934572,2022/10/15,2022-9-24,1845,2399,3221,3573,3733,3856,3931,4863,3791,0.099272931,0.166522367,0.188418874,-2079.085844,0.141753262,-0.105981351,,,,,,,1.04 
44,127.523696,37.26914646,2022/10/15,2022-9-24,1724,2244,3124,3467,3652,3805,3902,4574,3662,0.110731568,0.155508856,0.20016466,-2116.474054,0.158115048,-0.079282681,,,,,,,0.96 
45,127.5234968,37.26880228,2022/10/15,2022-9-24,1692,2253,3207,3566,3731,3936,3949,4819,3610,0.103689212,0.174507939,0.176633022,-2110.011646,0.148059339,-0.099224453,,,,,,,1.01 
46,127.5196223,37.26865667,2022/10/15,2022-9-24,2144,2890,3820,4214,4427,4577,4599,5658,4278,0.092528804,0.168608594,0.170236014,-2391.755833,0.132124415,-0.103246563,,,,,,,0.91 
47,127.5196544,37.2691177,2022/10/15,2022-9-24,2006,2655,3614,4049,4214,4350,4447,5464,4075,0.103337055,0.169016805,0.187832597,-2374.251371,0.14755748,-0.102613258,,,,,,,0.92 
48,127.5202443,37.26804501,2022/10/15,2022-9-24,2085,2734,3546,3870,3951,4104,4265,4953,3925,0.092049674,0.14472355,0.181483164,-2215.243079,0.131439732,-0.074636581,,,,,,,1.03 
49,127.5189234,37.27063588,2022/10/15,2022-9-24,2149,2823,3613,4002,4162,4280,4381,5547,4388,0.096072054,0.16762269,0.193110385,-2299.11523,0.137183548,-0.117445608,,,,,,,0.99 
50,127.5194,37.27098335,2022/10/15,2022-9-24,2354,3012,3811,4194,4405,4501,4664,5899,4632,0.100648968,0.160927786,0.215927501,-2474.823224,0.143719468,-0.116917542,,,,,,,0.92 
51,127.5200543,37.27125799,2022/10/15,2022-9-24,2653,3464,4276,4698,4912,5099,5133,6335,4999,0.091083006,0.153557645,0.196694974,-2659.271842,0.130060616,-0.104813394,,,,,,,0.99 
52,127.520545,37.27174667,2022/10/15,2022-9-24,2382,3189,4043,4564,5022,5082,5126,5951,4721,0.118115389,0.14204091,0.235026042,-2820.554241,0.168660902,-0.074478649,,,,,,,1.02 
53,127.5210503,37.27205591,2022/10/15,2022-9-24,2231,2966,3740,4176,4505,4639,4683,5583,4324,0.11195536,0.148364846,0.226868113,-2546.422357,0.159864131,-0.08766803,,,,,,,1.06 
54,127.5190066,37.27426701,2022/10/15,2022-9-24,2784,3608,4407,4811,4938,5086,5126,6132,4376,0.075422218,0.142500949,0.168163533,-2532.312673,0.107698091,-0.089358678,,,,,,,0.75 
55,127.5194053,37.27352122,2022/10/15,2022-9-24,3091,3953,4740,5135,5273,5448,5378,6582,4660,0.06305594,0.144156435,0.149955342,-2533.432836,0.090040073,-0.100668896,,,,,,,0.83 
57,127.5206332,37.272799,2022/10/15,2022-9-24,2673,3423,3979,4600,5252,5434,5472,6054,4565,0.157972701,0.103861811,0.401365665,-3191.221077,0.225574802,-0.050494534,,,,,,,0.79 
58,127.4971552,37.20933846,2022/10/15,2022-9-24,2502,3170,3918,4322,4516,4725,4858,5880,4497,0.107110301,0.142091153,0.244740679,-2615.248602,0.15294605,-0.09517601,,,,,,,0.70 
59,127.4966019,37.20942849,2022/10/15,2022-9-24,2344,2926,3609,3985,4115,4288,4501,5737,4467,0.10998767,0.154468532,0.260027985,-2437.699297,0.157054104,-0.120726704,,,,,,,1.70 
60,127.4966078,37.21005697,2022/10/15,2022-9-24,2940,3730,4531,4891,4822,4964,5239,6299,4832,0.072466735,0.139460256,0.170585968,-2561.29707,0.103477964,-0.091870341,,,,,,,0.70 
61,127.4963338,37.21014277,2022/10/15,2022-9-24,2352,3091,3921,4335,4515,4657,4744,6013,4694,0.094979804,0.166647093,0.193537767,-2482.810238,0.135624461,-0.117969694,,,,,,,0.93 
62,127.4963364,37.21040069,2022/10/15,2022-9-24,2768,3593,4447,4842,4942,5086,5135,6412,4989,0.071801294,0.1575525,0.155543498,-2504.37551,0.102527668,-0.110591496,,,,,,,0.72 
63,127.4973999,37.2087994,2022/10/15,2022-9-24,2613,3391,4282,4700,4799,4918,5092,6544,4746,0.086409217,0.168420485,0.181005587,-2603.99141,0.123386728,-0.12478515,,,,,,,0.72 
64,127.4966225,37.20879786,2022/10/15,2022-9-24,2913,3778,4562,4853,5096,5226,5279,6726,4944,0.072858449,0.158932238,0.165903096,-2584.50254,0.104037341,-0.120533111,,,,,,,0.47 
