id,xcoord(long),ycoord(lat),sampling date,sensing date,1,2,3,4,5,6,7,8,9,10,11,12,NDVI,BSI,EVI,AVI,SAVI,NDMI,C,S,SWHC,Sand (%),Silt (%),Clay (%),SOC
1,127.4844862,37.1540762,2022-7-26,2022-6-1,0.10868,0.1528,0.2256,0.3088,0.35811,0.41561,0.42981,0.452,0.45821,0.46119,0.45868,0.33458,0.188222923,0.118547235,0.219677724,0.355000034,0.172013459,-0.007335178,,,0.7,68,30.5,1.6,0.71 
2,127.4852446,37.1545173,2022-7-26,2022-6-1,0.12119,0.207,0.2946,0.4032,0.44438,0.46117,0.48472,0.5153,0.50704,0.51287,0.55052,0.39463,0.122046815,0.138077111,0.222717592,0.325460427,0.11888511,-0.033044979,,,0.75,75.2,23.6,1.2,0.86 
3,127.4861837,37.1552674,2022-7-26,2022-6-1,0.11056,0.1938,0.272,0.3876,0.44757,0.45597,0.47389,0.4951,0.49256,0.49884,0.52392,0.36816,0.121785431,0.139100986,0.202995649,0.319432321,0.117120623,-0.028282075,,,0.8,63.8,33.5,2.7,0.87 
4,127.4828685,37.1539711,2022-7-26,2022-6-1,0.12599,0.1946,0.2728,0.376,0.43381,0.44057,0.46657,0.4856,0.49037,0.48631,0.553,0.40561,0.1272052,0.154610987,0.209316894,0.321433601,0.121362283,-0.064895051,,,1,77.8,17.6,4.7,1.00 
5,127.4812562,37.1576694,2022-7-26,2022-6-1,0.10426,0.1894,0.2458,0.298,0.30659,0.33511,0.36345,0.3836,0.38399,0.4045,0.45811,0.3962,0.125586854,0.137768883,0.184600521,0.284596677,0.110162942,-0.088522175,,,0.7,81.1,16,2.9,0.84 
6,127.489336,37.1402543,2022-7-26,2022-6-1,0.13395,0.2386,0.3152,0.4136,0.42479,0.47257,0.50595,0.5208,0.51203,0.51378,0.61069,0.4601,0.114726027,0.148506747,0.213678621,0.319904175,0.112361715,-0.079443919,,,0.7,68,30.3,1.7,1.07 
7,127.5011897,37.1504977,2022-7-26,2022-6-1,0.09402,0.1096,0.123,0.1318,0.14902,0.15977,0.15826,0.1433,0.16479,0.14868,0.19711,0.17241,0.041802981,0.130644025,0.025821343,0.112682015,0.023356564,-0.158074087,,,0.65,66.2,32.5,1.4,0.47 
10,127.5143499,37.14533637,2022-8-27,2022-6-1,0.08208,0.1282,0.197,0.2874,0.30711,0.33986,0.36162,0.3788,0.35449,0.36049,0.41533,0.32017,0.137196037,0.161796434,0.180995834,0.29111684,0.119282764,-0.046000025,23,37,0.621621622,,,,0.30
11,127.5096228,37.14043306,2022-8-27,2022-6-1,0.1315,0.1616,0.2254,0.3066,0.35151,0.38312,0.40356,0.4251,0.41226,0.42913,0.51286,0.402,0.16195162,0.165528816,0.20799399,0.326887086,0.145915323,-0.093564758,22,42,0.523809524,,,,1.00
12,127.5100907,37.14023002,2022-8-27,2022-6-1,0.12554,0.1662,0.233,0.2952,0.33632,0.37965,0.39957,0.4235,0.41459,0.42105,0.49884,0.38136,0.178516766,0.147672251,0.215644749,0.337066291,0.159773611,-0.081683544,38,46,0.826086957,,,,1.54
