,B03_Green_,B02_Blue_4,B12_SWIR_2,B11_SWIR_1,B8A_VRE_86,B07_VRE_78,B06_VRE_74,B05_VRE_75,B04_Red_66,outlier
0,3347.0,2870.0,5451.0,6091.0,4945.0,4784.0,4556.0,4258.0,3807.0,True
1,3349.0,2889.0,5550.0,6164.0,4983.0,4817.0,4580.0,4281.0,3838.0,True
2,3362.0,2901.0,5523.0,6192.0,4961.0,4802.0,4567.0,4278.0,3851.0,True
3,3391.0,2877.0,5529.0,6233.0,5021.0,4853.0,4601.0,4322.0,3848.0,True
4,2576.0,2266.0,4759.0,5309.0,3849.0,3724.0,3475.0,3161.0,2913.0,True
5,3442.0,2944.0,5576.0,6272.0,5060.0,4910.0,4631.0,4343.0,3891.0,True
6,2547.0,2276.0,4729.0,5292.0,3823.0,3695.0,3464.0,3155.0,2879.0,True
7,3476.0,2978.0,5576.0,6280.0,5071.0,4925.0,4677.0,4372.0,3930.0,True
8,2510.0,2247.0,4741.0,5287.0,3840.0,3670.0,3434.0,3149.0,2860.0,True
9,3478.0,2970.0,5580.0,6269.0,5056.0,4951.0,4700.0,4389.0,3995.0,True
10,2514.0,2242.0,4792.0,5287.0,3798.0,3642.0,3409.0,3179.0,2848.0,True
11,3406.0,2920.0,5406.0,6039.0,4831.0,4693.0,4513.0,4216.0,3889.0,True
12,2491.0,2201.0,4710.0,5248.0,3780.0,3629.0,3369.0,3079.0,2832.0,True
13,3062.0,2701.0,5043.0,5786.0,4608.0,4436.0,4101.0,3972.0,3396.0,False
14,2554.0,2255.0,4807.0,5305.0,3732.0,3663.0,3438.0,3171.0,2904.0,True
15,3474.0,2950.0,5319.0,5989.0,4902.0,4757.0,4565.0,4249.0,3961.0,True
16,3531.0,2994.0,5528.0,6191.0,5166.0,5049.0,4726.0,4473.0,4014.0,True
17,3474.0,2967.0,5468.0,6124.0,5103.0,4956.0,4626.0,4354.0,3904.0,True
18,2966.0,2535.0,4416.0,5328.0,5278.0,5060.0,4707.0,3901.0,3379.0,True
19,3078.0,2644.0,4592.0,5483.0,5180.0,5084.0,4702.0,3976.0,3480.0,True
20,3023.0,2608.0,4542.0,5427.0,4945.0,4865.0,4504.0,3878.0,3458.0,True
