,id,xcoord,ycoord,BSI_211024,B03_Green_,B02_Blue_4,B12_SWIR_2,B11_SWIR_1,B8A_VRE_86,B07_VRE_78,B06_VRE_74,B05_VRE_75,B04_Red_66,centroid
0,3265124,364947.472,4107852.587,0.18422,2244,1652,3327,4459,3394,3355,3230,3124,2866,1
1,3265123,364927.472,4107852.587,0.16834,2292,1725,3459,4568,3618,3561,3465,3322,2938,4
2,3559098,372347.472,4105272.587,0.18888,1267,881,1992,2824,2241,2309,1983,1833,1752,2
3,3265120,364867.472,4107852.587,0.17123,2559,1914,3683,4856,3802,3770,3681,3560,3222,4
4,3559097,372327.472,4105272.587,0.19415,1881,1286,2879,3922,3097,2923,2876,2683,2573,0
5,3265119,364847.472,4107852.587,0.16994,2569,1868,3610,4846,3864,3841,3693,3600,3233,4
6,3265122,364907.472,4107852.587,0.17067,2395,1825,3568,4664,3610,3567,3464,3314,3008,4
7,3046855,369487.472,4109772.587,0.21808,1970,1413,3401,4735,3309,3221,3067,2944,2621,1
8,3265121,364887.472,4107852.587,0.16491,2529,1921,3609,4757,3733,3696,3592,3468,3130,4
9,2382304,370307.472,4115612.587,0.17427,1906,1299,3278,4372,3636,3434,3291,3024,2646,1
10,574892,364947.472,4131492.587,0.25895,1585,993,3506,4757,3271,3161,3004,2915,2487,1
11,2382303,370287.472,4115612.587,0.18357,1776,1222,3073,4166,3341,3246,3058,2856,2449,1
12,2382305,370327.472,4115612.587,0.18179,1841,1249,3207,4384,3567,3329,3236,3011,2572,1
13,4777360,338867.472,4094552.587,0.23676,897,560,2332,2807,2164,2126,1960,1823,1607,2
14,4777359,338847.472,4094552.587,0.2396,845,527,2202,2687,2050,1989,1860,1703,1514,2
15,2851028,367667.472,4111492.587,0.19091,1937,1395,3154,4235,3250,3087,3024,2846,2602,1
16,2646112,366147.472,4113292.587,0.20885,1954,1346,3367,4689,3463,3241,3070,3029,2659,1
17,2851027,367647.472,4111492.587,0.19038,1906,1344,3320,4364,3370,3227,3088,2912,2567,1
18,2646111,366127.472,4113292.587,0.20172,2208,1588,3747,5084,3794,3591,3451,3331,3018,4
19,2851029,367687.472,4111492.587,0.19606,1970,1399,3142,4268,3255,3222,3056,2948,2656,1
20,2646113,366167.472,4113292.587,0.208,1559,1099,2550,3894,2882,2687,2567,2414,2178,0
21,2946636,367987.472,4110652.587,0.22679,1726,1072,2627,4259,3188,3196,3005,2809,2500,1
22,2946635,367967.472,4110652.587,0.2288,1829,1157,2709,4408,3277,3293,3167,2994,2657,1
23,3579587,372447.472,4105092.587,0.22866,2017,1337,3600,4793,3399,3395,3248,3142,2751,4
24,2851026,367627.472,4111492.587,0.18947,2030,1433,3486,4609,3555,3473,3345,3149,2711,4
25,2851025,367607.472,4111492.587,0.18306,2127,1494,3522,4538,3609,3454,3405,3179,2852,4
26,3389936,357587.472,4106752.587,0.17906,1092,842,2532,3590,2741,2333,2064,1894,1556,2
27,3389935,357567.472,4106752.587,0.17233,1003,765,2310,3324,2597,2211,1962,1740,1438,2
28,2946634,367947.472,4110652.587,0.22161,1998,1293,2951,4766,3584,3611,3429,3208,2888,4
29,3046821,368807.472,4109772.587,0.2361,1313,855,2372,3460,2505,2441,2316,2191,1977,2
30,3579586,372427.472,4105092.587,0.22983,1996,1311,3501,4783,3377,3318,3215,3087,2703,1
31,2946633,367927.472,4110652.587,0.23606,2074,1334,3157,5015,3627,3619,3544,3353,3012,4
32,3579585,372407.472,4105092.587,0.22114,2011,1342,3539,4687,3395,3341,3207,3061,2740,1
