id,xcoord(long),ycoord(lat),sampling date,sensing date,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,BSI,TVI,EVI,SATVI,SAVI,BI2,AVI,NDMI,SWHC,Sand (%),Silt (%),Clay (%),DSM,SOC
1,127.4844862,37.1540762,2022-7-26,2022-9-24,0.1976,0.2448,0.3022,0.3264,0.3774,0.4137,0.4032,0.4234,0.5107,0.40410,0.155410015,0.134753735,0.809573971,0.371979099,-0.202000945,0.23309912,0.194461667,-0.246186913,-0.093458944,0.7,0.68,0.305,0.016,0.278892288,0.71 
1,127.4844862,37.1540762,2022-7-26,2022-10-19,0.1667,0.2020,0.2478,0.2781,0.3036,0.3232,0.3519,0.3188,0.3986,0.30950,0.141629364,0.138703059,0.801017705,0.375166003,-0.154700219,0.212425029,0.148761394,-0.182135193,-0.111235015,0.7,0.68,0.305,0.016,0.278892288,0.71 
1,127.4844862,37.1540762,2022-7-26,2022-10-29,0.1960,0.2420,0.2828,0.3124,0.3434,0.3429,0.3684,0.3635,0.4849,0.39280,0.130989421,0.157352718,0.794348426,0.355184342,-0.196346199,0.19646885,0.171333654,-0.204445383,-0.143092881,0.7,0.68,0.305,0.016,0.278892288,0.71 
1,127.4844862,37.1540762,2022-7-26,2022-6-11,0.2232,0.2914,0.3514,0.3441,0.4298,0.4607,0.4731,0.4869,0.5624,0.43240,0.14362889,0.121868571,0.80226485,0.345734155,-0.216157329,0.215430685,0.225419367,-0.278946717,-0.07195273,0.7,0.68,0.305,0.016,0.278892288,0.71 
2,127.4852446,37.1545173,2022-7-26,2022-6-1,0.3070,0.3946,0.5032,0.5340,0.5515,0.5755,0.6153,0.5967,0.6441,0.49690,0.092356979,0.11530747,0.769647308,0.199351958,-0.248423982,0.138529129,0.289647773,-0.310185892,-0.038201161,0.75,0.752,0.236,0.012,0.255962938,0.86 
2,127.4852446,37.1545173,2022-7-26,2022-9-24,0.2146,0.2716,0.3458,0.3743,0.3882,0.3961,0.4187,0.4130,0.5577,0.42540,0.12,0.178545187,0.787400787,0.261571201,-0.212647138,0.179987797,0.195324599,-0.228029686,-0.149067683,0.75,0.752,0.236,0.012,0.255962938,0.86 
2,127.4852446,37.1545173,2022-7-26,2022-10-19,0.1855,0.2366,0.2938,0.3537,0.3746,0.3870,0.3691,0.4026,0.4894,0.40600,0.1107739,0.140428521,0.781520249,0.261563518,-0.202958832,0.16614939,0.19342528,-0.218392784,-0.097309417,0.75,0.752,0.236,0.012,0.255962938,0.86 
2,127.4852446,37.1545173,2022-7-26,2022-10-29,0.2148,0.2674,0.3286,0.3668,0.3849,0.3983,0.4043,0.4165,0.5314,0.43850,0.108892439,0.145331923,0.780315602,0.291601312,-0.219204583,0.163327787,0.20074007,-0.22505988,-0.121215318,0.75,0.752,0.236,0.012,0.255962938,0.86 
2,127.4852446,37.1545173,2022-7-26,2022-6-11,0.2742,0.3454,0.4372,0.4780,0.4884,0.5178,0.5103,0.5311,0.6270,0.51860,0.101067689,0.1353637,0.775285553,0.230322215,-0.259263534,0.151593677,0.256023135,-0.282091504,-0.082808048,0.75,0.752,0.236,0.012,0.255962938,0.86 
3,127.4861837,37.1552674,2022-7-26,2022-6-1,0.2938,0.3720,0.4876,0.5519,0.5619,0.5813,0.5951,0.5986,0.6298,0.46920,0.099357208,0.112247431,0.774181638,0.204174057,-0.234575114,0.14902897,0.286504786,-0.31667124,-0.025398893,0.8,0.638,0.335,0.027,0.242159908,0.87 
